# Title: Global Land and Ocean Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1901-2000
Date,Anomaly
200105,0.57
200106,0.53
200107,0.62
200108,0.54
200109,0.55
200110,0.50
200111,0.69
200112,0.62
200201,0.68
200202,0.68
200203,0.83
200204,0.56
200205,0.66
200206,0.58
200207,0.64
200208,0.56
200209,0.61
200210,0.57
200211,0.57
200212,0.51
200301,0.71
200302,0.62
200303,0.59
200304,0.57
200305,0.60
200306,0.50
200307,0.58
200308,0.65
200309,0.69
200310,0.74
200311,0.56
200312,0.73
200401,0.62
200402,0.70
200403,0.67
200404,0.62
200405,0.40
200406,0.44
200407,0.37
200408,0.49
200409,0.55
200410,0.62
200411,0.70
200412,0.54
200501,0.77
200502,0.63
200503,0.74
200504,0.69
200505,0.66
200506,0.67
200507,0.65
200508,0.60
200509,0.71
200510,0.74
200511,0.77
200512,0.72
200601,0.60
200602,0.76
200603,0.65
200604,0.55
200605,0.55
200606,0.64
200607,0.57
200608,0.71
200609,0.67
200610,0.69
200611,0.68
200612,0.78
200701,0.92
200702,0.71
200703,0.68
200704,0.78
200705,0.64
200706,0.59
200707,0.59
200708,0.57
200709,0.60
200710,0.60
200711,0.57
200712,0.49
200801,0.28
200802,0.33
200803,0.71
200804,0.52
200805,0.51
200806,0.49
200807,0.59
200808,0.53
200809,0.61
200810,0.68
200811,0.70
200812,0.59
200901,0.67
200902,0.54
200903,0.53
200904,0.58
200905,0.63
200906,0.68
200907,0.74
200908,0.71
200909,0.76
200910,0.69
200911,0.76
200912,0.72
201001,0.76
201002,0.83
201003,0.90
201004,0.88
201005,0.78
201006,0.71
201007,0.68
201008,0.65
201009,0.66
201010,0.69
201011,0.77
201012,0.51
201101,0.55
201102,0.52
201103,0.65
201104,0.67
201105,0.56
201106,0.62
201107,0.70
201108,0.70
201109,0.62
201110,0.66
201111,0.55
201112,0.58
201201,0.51
201202,0.52
201203,0.54
201204,0.72
201205,0.75
201206,0.70
201207,0.64
201208,0.67
201209,0.75
201210,0.78
201211,0.75
201212,0.53
201301,0.68
201302,0.60
201303,0.65
201304,0.60
201305,0.66
201306,0.71
201307,0.62
201308,0.69
201309,0.76
201310,0.68
201311,0.79
201312,0.71
201401,0.75
201402,0.58
201403,0.80
201404,0.79
201405,0.83
201406,0.72
201407,0.65
201408,0.83
201409,0.85
201410,0.79
201411,0.67
201412,0.80
201501,0.84
201502,0.88
201503,0.94
201504,0.82
201505,0.83
201506,0.87
201507,0.79
201508,0.84
201509,0.94
201510,1.07
201511,1.05
201512,1.12
201601,1.20
201602,1.34
201603,1.33
201604,1.14
201605,0.96
201606,0.85
201607,0.88
201608,1.00
201609,0.96
201610,0.87
201611,0.93
201612,0.90
201701,1.04
201702,1.10
201703,1.11
201704,0.95
201705,0.91
201706,0.78
201707,0.86
201708,0.88
201709,0.87
201710,0.92
201711,0.89
201712,0.96
201801,0.84
201802,0.89
201803,0.88
201804,0.91
201805,0.84
201806,0.80
201807,0.85
201808,0.82
201809,0.83
201810,1.02
201811,0.85
201812,0.95
201901,0.93
201902,0.92
201903,1.15
201904,1.05
201905,0.91
201906,0.92
201907,0.93
201908,0.94
201909,0.95
201910,1.02
201911,0.99
201912,1.12
202001,1.16
202002,1.21
202003,1.14
202004,1.14
202005,1.00
202006,0.94
202007,0.92
202008,0.91
202009,1.00
202010,0.91
202011,1.07
202012,0.83
202101,0.83
202102,0.65
202103,0.89
202104,0.80
202105,0.82
202106,0.85
202107,0.91
202108,0.88
202109,0.94
202110,0.99
202111,0.94
202112,0.90
202201,0.92
202202,0.90
202203,1.07
202204,0.88
202205,0.83
202206,0.93
202207,0.91
202208,0.92
202209,0.88
202210,0.96
202211,0.75
202212,0.82
202301,0.89
202302,1.02
202303,1.22
202304,0.99
202305,0.97
202306,1.08
202307,1.19
202308,1.27
202309,1.44
202310,1.37
202311,1.43
202312,1.39
202401,1.30
202402,1.41
202403,1.34
202404,1.28
202405,1.19
202406,1.22
202407,1.21
202408,1.27
202409,1.26
202410,1.34
202411,1.34
202412,1.28
